interaction_type_ignored
sex
Phylogenenetic Relationship
Morphological species group
MID
In same sample
Closely related with some hybridization
Closely related with occasional hybridization
dev_stage
En
Hybrid
Mate
Possible hybrid
Duplicate
relationship unknown
Coleoptera
Episcythrastis
Lithobiomorpha
Spodoptera litura
Cicadellidae
Hemiptera
floral hist
